序号,优先级,章节,方剂名,出处,组成,用法,功用,主治,方义,配伍特点,注意/禁忌,《方剂学》页码,来源,QA状态,QA问题,定位标题,PDF页码,书内索引页码,页码类型,定位方法,原文片段文件
211,P1,第12章 理气剂,瓜蒌薤白半夏汤,《金匮要略》,瓜蒌实捣，一枚（24g） 薤白三两（9g） 半夏半升（12g） 白酒一斗（适量）,上同煮，取四升，温服一升，日三服。,通阳散结，祛痰宽胸。,胸痹而痰浊较甚，胸痛彻背，不能安卧者。,,,,P.185,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.334；书内索引页码 P.185,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,瓜蒌薤白半夏汤,P.334,P.185,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\211_瓜蒌薤白半夏汤.txt
212,P1,第2章 泻下剂,半硫丸,《太平惠民和剂局方》,半夏汤浸七次，焙干，为细末 硫黄明净好者，研令极细，用 柳木槌子杀过，各等分 以生姜自然汁同熬，入干蒸饼末搅和匀，入臼内杵数百下，丸如梧桐子大。,每服空心，温酒或生姜汤送下十五丸至二十丸，妇人醋汤下。,温肾祛寒，通阳泄浊。,老人下元虚冷便秘，或阳虚寒湿久泻。,,,,P.56,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.123；书内索引页码 P.56,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,半硫丸,P.123,P.56,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\212_半硫丸.txt
213,P1,第12章 理气剂,加味乌药汤,《奇效良方》,乌药 缩砂 木香 延胡索各一两（各6g） 香附炒，去毛，二两（9g） 甘草一两半（9g）,上细锉。每服七钱（20g），水一盏半，生姜三片，煎至七分，不拘时温服（现代用法：水煎服）。,行气活血，调经止痛。,肝郁气滞之痛经。月经前或月经初行时，少腹胀痛，胀甚于痛，或连胸胁、乳房胀痛，舌淡，苔薄白，脉弦紧。,方中香附疏肝理气，调经止痛，重用为君。乌药辛散温通，助香附疏肝解郁，行气止痛；延胡索行气活血，调经止痛。两药相合，气血同治，共为臣药。木香、砂仁行气止痛而消胀，生姜温胃散寒，均为佐药。甘草缓急止痛，兼调诸药，为佐使之用。诸药合用，共奏行气活血、调经止痛之功。,辛香温散，寓行血于疏肝调经之中，气血兼顾。,,P.190,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.345；书内索引页码 P.190,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,加味乌药汤,P.345,P.190,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets_300\213_加味乌药汤.txt
214,P1,第8章 补益剂,加味肾气丸,《济生方》,附子炮，二枚（15g） 白茯苓 泽泻 山茱萸取肉 山药炒 车前子酒蒸 牡丹皮去木，各一两（各30g） 官桂不见火 川牛膝去芦，酒浸 熟地黄各半两（各15g）,上为细末，炼蜜为丸，如梧桐子大，每服七十丸，空心米饮送下。,温助肾阳，利水消肿。,肾阳虚水肿。症见腰重脚肿，小便不利。,,,,P.143,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.265；书内索引页码 P.143,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,加味肾气丸,P.265,P.143,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\214_加味肾气丸.txt
215,P1,第1章 解表剂,加味香苏散,《医学心悟》,紫苏叶一钱五分（5g） 陈皮 香附各一钱二分（各4g） 甘草炙，七分（2.5g） 荆芥 秦艽 防风 蔓荆子各一钱（各3g） 川芎五分（1.5g） 生姜三片,上锉一剂，水煎温服。微覆似汗。,发汗解表，理气解郁。,外感风寒，兼有气滞证。症见头痛项强，鼻塞流涕，身体疼痛，发热恶寒或恶风，无汗，胸脘痞闷，苔薄白，脉浮。,,,,P.31,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.82；书内索引页码 P.31,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,加味香苏散,P.82,P.31,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\215_加味香苏散.txt
216,P1,第8章 补益剂,加减复脉汤,《温病条辨》,炙甘草六钱（18g） 干地黄六钱（18g） 生白芍六钱（18g） 麦冬不去心，五钱（15g） 阿胶三钱（9g） 麻仁三钱（9g）,上以水八杯，煮取三杯，分三次服。,滋阴养血，生津润燥。,温热病后期，邪热久羁，阴液亏虚证。症见身热面赤，口干舌燥，脉虚大，手足心热甚于手足背者。,,,,P.135,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.252；书内索引页码 P.135,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,加减复脉汤,P.252,P.135,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\216_加减复脉汤.txt
217,P1,第1章 解表剂,加减葳蕤汤,《重订通俗伤寒论》,生葳蕤二钱至三钱（9g） 生葱白二枚至三枚（6g） 桔梗一钱至钱半（4.5g） 东白薇五分至一钱（3g） 淡豆豉三钱至四钱（12g） 苏薄荷一钱至钱半（4.5g） 炙草五分（1.5g） 红枣二枚,水煎，分温再服。,滋阴解表。,阴虚外感风热证。头痛身热，微恶风寒，无汗或有汗不多，咳嗽，心烦，口渴，咽干，舌红，脉数。,方用葳蕤（玉竹）甘平滋润，滋阴润燥；薄荷疏散风热、清利咽喉，为“温病宜汗解者之要药”（《医学衷中参西录》），二者配伍，滋阴解表，共为君药。葱白、淡豆豉助薄荷发表散邪，用为臣药。佐以白薇清热益阴，桔梗宣肺止咳，大枣甘润养血，合白薇以滋阴液。使以甘草调和药性。诸药配伍，共成滋阴清热、辛凉解表之功。,辛凉与甘寒合法，汗不伤阴，滋不碍邪。,,P.44,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.106；书内索引页码 P.44,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,加减葳蕤汤,P.106,P.44,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets_300\217_加减葳蕤汤.txt
218,P1,第8章 补益剂,圣愈汤,《医宗金鉴》,熟地七钱五分（20g） 白芍酒拌，七钱五分（15g） 川芎七钱五分（8g） 人参七钱五分（15g） 当归酒洗，五钱（15g） 黄芪炙，五钱（15g）,水煎服。,益气，补血，摄血。,妇女月经先期而至，量多色淡，精神倦怠，四肢乏力。,,,,P.130,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.244；书内索引页码 P.130,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,圣愈汤,P.244,P.130,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\218_圣愈汤.txt
219,P1,第8章 补益剂,地黄饮子,《黄帝素问宣明论方》,熟干地黄（18g） 巴戟去心 山茱萸 石斛 肉苁蓉酒浸，焙（各9g） 附子炮 五味子 官桂 白茯苓 麦门冬去心 菖蒲 远志去心，等分（各6g）（原著本方无用量）,上为末，每服三钱（9g），水一盏半，生姜五片，枣一枚，薄荷，同煎至八分，不计时候（现代用法：加生姜5片，大枣1枚，薄荷2g，水煎服）。,滋肾阴，补肾阳，开窍化痰。,喑痱。舌强不能言，足废不能用，口干不欲饮，足冷面赤，脉沉细弱。,方中熟地黄、山茱萸滋补肾阴，填补肾精；肉苁蓉、巴戟天温养肾阳。四药相伍，阴阳并补，益肾填精，共为君药。附子、肉桂温助真元，摄纳浮阳，引火归原，与君药相伍，以增温补肾阳之力，为臣药。麦冬、五味、石斛滋阴敛液，育阴以配阳，与君药相伍，以增补肾阴、益肾精之力，亦为臣药。佐入石菖蒲、远志、茯苓交通心肾，开窍化痰。少佐薄荷，借其轻清疏散之性，以助解郁开窍之力；引用生姜、大枣，调阴阳，和气血。诸药合用，滋补肾阴，温养肾阳，交通心肾，化痰开窍。下元既……,阴阳并补，上下并治，以补虚治下为主。,,P.145,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.271；书内索引页码 P.145,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,地黄饮子,P.271,P.145,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets_300\219_地黄饮子.txt
220,P1,第1章 解表剂,再造散,《伤寒六书》,黄芪（6g） 人参（3g） 桂枝（3g） 甘草（1.5g） 熟附（3g） 细辛（2g） 羌活（3g） 防风（3g） 川芎（3g） 煨生姜（3g）（原著本方无用量）,水二盅，枣二枚，煎至一盅。槌法再加炒芍药一撮，煎三沸，温服（现代用法：加大枣2枚，炒白芍3g，水煎服）。,助阳益气，解表散寒。,阳气虚弱，外感风寒表证。恶寒发热，热轻寒重，无汗肢冷，倦怠嗜卧，面色苍白，语声低微，舌淡苔白，脉沉无力或浮大无力。,方中君以桂枝、羌活，臣以防风、细辛，君臣相伍旨在发散风寒。佐入熟附子温补元阳，黄芪、人参补益元气，既可鼓舞正气以利发散，又可防止阳随汗脱；川芎行气活血，并能祛风；白芍养血敛阴，合桂枝有调和营卫之意，并制附、桂、羌、辛诸药之温燥；煨生姜温胃，大枣滋脾，合用以助脾胃升发之气，滋汗源以助解表。使以甘草调和药性。诸药相合，共成助阳益气、解表散寒之功。,辛温与甘温合法，助阳气以散表邪。,,P.43,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.104；书内索引页码 P.43,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,再造散,P.104,P.43,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets_300\220_再造散.txt
221,P1,第3章 和解剂,达原饮,《温疫论》,槟榔二钱（6g） 厚朴一钱（3g） 草果仁五分（1.5g） 知母一钱（3g） 芍药一钱（3g） 黄芩一钱（3g） 甘草五分（1.5g）,上用水二盅，煎八分，午后温服（现代用法：水煎服）。,开达膜原，辟秽化浊。,瘟疫或疟疾，邪伏膜原证。憎寒壮热，或一日三次，或一日一次，发无定时，胸闷呕恶，头痛烦躁，脉数，舌边深红，舌苔垢腻，或苔白厚如积粉。,方中槟榔为君药，破滞气，消痰癖。厚朴芳香化浊，理气祛湿；草果辛香化浊，辟秽止呕，共为臣药。以上三药气味辛烈，可直达膜原，逐邪外出。凡温疫毒邪，最易化火伤阴，故用白芍、知母清热滋阴，并可防诸辛燥药之耗散阴津；黄芩苦寒，清热燥湿，共为佐药。配以甘草生用为使，既能清热解毒，又可调和诸药。全方合用，可使秽浊得化，热毒得清，则邪气溃散，速离膜原，故以“达原饮”名之。为治瘟疫秽浊毒邪伏于膜原证之主方。,苦温芳化与苦寒清热之中少佐酸甘，透达膜原而不伤阴。,,P.65,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.140；书内索引页码 P.65,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,达原饮,P.140,P.65,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets_300\221_达原饮.txt
222,P1,第4章 清热剂,当归六黄汤,《兰室秘藏》,当归 生地黄 黄芩 黄柏 黄连 熟地黄各等分（各6g） 黄芪加一倍（12g）,上药为粗末，每服五钱（15g），水二盏，煎至一盏，食前服，小儿减半服之（现代用法：水煎服）。,滋阴泻火，固表止汗。,阴虚火旺盗汗。发热盗汗，面赤心烦，口干唇燥，大便干结，小便黄赤，舌红苔黄，脉数。,方中当归、生地黄、熟地黄入肝肾而滋阴养血，阴血充则水能制火，共为君药。臣以黄连清心泻火，并合黄芩、黄柏苦寒泻火以坚阴。君臣相伍，滋阴泻火兼施，标本兼顾。汗出过多，卫虚不固，故倍用黄芪为佐，益气实卫以固表，且合当归、熟地益气养血，亦为臣药。诸药配伍，共奏滋阴泻火、固表止汗之功。,甘润养血滋阴，苦寒坚阴泻火，甘温益气固表，标本兼顾。,,P.93,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.188；书内索引页码 P.93,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,当归六黄汤,P.188,P.93,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets_300\222_当归六黄汤.txt
223,P1,第4章 清热剂,当归龙荟丸,《黄帝素问宣明论方》,当归焙 龙胆草 大栀子 黄连 黄柏 黄芩各一两（各30g） 大黄 芦荟 青黛各半两（各15g） 木香一分（0.3g） 麝香半钱（1.5g）,上为末，炼蜜为丸，如小豆大，小儿如麻子大，每服二十丸，生姜汤下。,清泻肝胆实火。,肝胆实火证。症见头晕目眩，神志不宁，谵语发狂，或大便秘结，小便赤涩。,,,,P.84,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.171；书内索引页码 P.84,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,当归龙荟丸,P.171,P.84,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\223_当归龙荟丸.txt
224,P1,第6章 温里剂,当归四逆加吴茱萸生姜汤,《伤寒论》,当归三两（9g） 芍药三两（9g） 甘草炙，二两（6g） 通草二两（6g） 桂枝去皮，三两（9g） 细辛三两（3g） 生姜切，半斤（12g） 吴茱萸二升（9g） 大枣擘，二十五枚（8枚）,上九味，以水六升、清酒六升和，煮取五升，去滓，温分五服。,温经散寒，养血通脉，和中止呕。,血虚寒凝，手足厥冷，兼寒邪在胃，呕吐腹痛者。,,,,P.111,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.215；书内索引页码 P.111,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,当归四逆加吴茱萸生姜汤,P.215,P.111,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\224_当归四逆加吴茱萸生姜汤.txt
225,P1,第3章 和解剂,当归芍药散,《金匮要略》,当归三两（9g） 芍药一斤（48g） 茯苓四两（12g） 白术四两（12g） 泽泻半斤（24g） 川芎半斤，一作三两（24g）,上六味，杵为散，取方寸匕，酒和，日三服。,养肝和血，健脾祛湿。,肝脾两虚，血瘀湿滞证。症见腹中拘急，绵绵作痛，或脘胁疼痛，头目眩晕，食少神疲，或下肢浮肿，小便不利，舌淡苔白，脉细弦或濡缓。,,,,P.68,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.143；书内索引页码 P.68,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,当归芍药散,P.143,P.68,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\225_当归芍药散.txt
226,P1,第6章 温里剂,当归建中汤,《千金翼方》,当归四两（12g） 桂心三两（9g） 甘草炙，二两（6g） 芍药六两（18g） 生姜三两（9g） 大枣擘，十二枚（4枚）,上六味 咀，以水一斗，煮取三升，分为三服，一日令尽。若大虚，加饴糖六两（30g）作汤成，内之于火上暖，令饴糖消。,温补气血，缓急止痛。,产后虚羸不足，腹中痛不已，吸吸少气，或少腹拘急挛痛引腰背，不能饮食者。,,,,P.105,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.204；书内索引页码 P.105,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,当归建中汤,P.204,P.105,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\226_当归建中汤.txt
227,P1,第6章 温里剂,回阳救急汤,《伤寒六书》,熟附子（9g） 干姜（6g） 人参（6g） 甘草炙（6g） 白术炒（9g） 肉桂（3g） 陈皮（6g） 五味子（3g） 茯苓（9g） 半夏制（9g）（原著本方无用量）,水二盅，姜三片，煎之，临服入麝香三厘（0.1g）调服。中病以手足温和即止，不得多服（现代用法：水煎服，麝香冲服）。,回阳固脱，益气生脉。,寒邪直中三阴，真阳衰微证。四肢厥冷，神衰欲寐，恶寒蜷卧，吐泻腹痛，口不渴，甚则身寒战栗，或指甲口唇青紫，或吐涎沫，舌淡苔白，脉沉微，甚或无脉。,本方以四逆汤合六君子汤，再加肉桂、五味子、麝香、生姜组成。方用附子、干姜、炙甘草之四逆汤，回阳救逆；将生附子易熟附子，可减其毒性。六君子汤（人参、白术、茯苓、炙甘草、半夏、陈皮）加生姜，以益气补中，固守中州。其中人参甘温，大补元气，与附子相配，回阳救逆，益气固脱；再加辛热之肉桂，助附子温壮元阳，通利血脉；更以辛香之麝香，散寒活血开窍，通行十二经脉，使全方药力速达周身。阳气衰微犹恐其辛香而暴亡，故加酸收之五味子，收敛元气，配人参尤能益气生……,辛热甘温相配，回阳补中兼顾，辛香酸涩相伍，以防阳气散越。,方中麝香用量不宜过大。,P.110,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.214；书内索引页码 P.110,已从教材PDF抽取待人工复核,P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,回阳救急汤,P.214,P.110,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets_300\227_回阳救急汤.txt
228,P1,第1章 解表剂,竹叶柳蒡汤,《先醒斋医学广笔记》,西河柳五钱（15g） 荆芥穗一钱（3g） 干葛一钱五分（4.5g） 蝉蜕一钱（3g） 薄荷叶一钱（3g） 鼠黏子炒，研，一钱五分（4.5g） 知母蜜炙，一钱（3g） 玄参二钱（6g） 甘草一钱（3g） 麦门冬去心，三钱（9g） 竹叶三十片（3g） （甚者加石膏五钱 ，冬米一 撮 ）,水煎服。,透疹解表，清热生津。,痧疹初起，透发不出。症见喘嗽，鼻塞流涕，恶寒轻，发热重，烦闷躁乱，咽喉肿痛，唇干口渴，苔薄黄而干，脉浮数。,,,,P.39,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.96；书内索引页码 P.39,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,竹叶柳蒡汤,P.96,P.39,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\228_竹叶柳蒡汤.txt
229,P1,第12章 理气剂,延胡索汤,《济生方》,当归去芦，酒浸，锉炒 延胡索炒，去皮 蒲黄炒 赤芍药 官桂不见火，各半两（各15g） 片子姜黄洗 乳香 没药 木香不见火，各三两（各90g） 甘草炙，二钱半（7.5g）,上 咀，每服四钱，水一盏半，加生姜七片，煎至七分，去滓，食前温服。,行气活血，调经止痛。,妇女室女，七情伤感，遂使血与气并，心腹作痛，或连腰胁，或引背膂，上下攻刺，经候不调，一切血气疼痛。,,,,P.184,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.333；书内索引页码 P.184,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,延胡索汤,P.333,P.184,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\229_延胡索汤.txt
230,P1,第1章 解表剂,华盖散,《博济方》,紫苏子炒 麻黄去根节 杏仁去皮尖 陈皮去白 桑白皮 赤茯苓去皮，各一两（6g） 甘草半两（3g） 七味同为末,每服二钱（6g），水一盏，煎至七分，温服。,宣肺解表，止咳祛痰。,风寒袭肺证。症见咳嗽上气，痰气不利，呀呷有声，胸膈痞满，鼻塞声重，苔白，脉浮紧。,,,,P.24,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.72；书内索引页码 P.24,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,华盖散,P.72,P.24,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\230_华盖散.txt
231,P1,第2章 泻下剂,舟车丸,《太平圣惠方》,黑丑头末，四两（120g） 甘遂面裹煮 芫花 大戟俱醋炒，各一两（各30g） 大黄二两（60g） 青皮 陈皮 木香 槟榔各五钱（各15g） 轻粉一钱（3g）,上为末，水糊丸如小豆大，空心温水下，初服五丸，日三服，以快利为度。,行气逐水。,水热内壅，气机阻滞证。症见水肿水胀，口渴，气粗，腹坚，二便秘涩，脉沉数有力。,,,,P.57,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.126；书内索引页码 P.57,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,舟车丸,P.126,P.57,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\231_舟车丸.txt
232,P1,第13章 理血剂,会厌逐瘀汤,《医林改错》,桃仁炒，五钱（15g） 红花五钱（15g） 甘草三钱（9g） 桔梗三钱（9g） 生地四钱（12g） 当归二钱（6g） 玄参一钱（3g） 柴胡一钱（3g） 枳壳二钱（6g） 赤芍二钱 （6g）,水煎服。,活血化瘀，散结利咽。,会厌瘀血证。症见呃逆，慢喉喑，喉痹等属气滞血瘀者。,,,,P.201,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.360；书内索引页码 P.201,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,会厌逐瘀汤,P.360,P.201,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\232_会厌逐瘀汤.txt
233,P1,第10章 安神剂,交泰丸,《韩氏医通》,川黄连五钱（15g） 肉桂心五分（1.5g）,上为末，炼蜜为丸，空心淡盐汤送下（现代用法：蜜丸，每服3g，日2次，温开水送下；亦可作汤剂，水煎服）。,交通心肾。,心火偏亢，心肾不交证。怔忡不宁，或夜寐不安，口舌生疮。,方中以黄连为君药，苦寒入心，清降心火。佐以辛热之肉桂，温助肾阳。二药相伍，使心火得降，肾阳得复，肾水上承，心肾相交，《韩氏医通》赞其“能使心肾交于顷刻”。,寒热并用而主以苦寒，清降心火以交通心肾。,,P.170,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.314；书内索引页码 P.170,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,交泰丸,P.314,P.170,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets_300\233_交泰丸.txt
234,P1,第8章 补益剂,异功散,《小儿药证直诀》,人参切，去顶 茯苓去皮 白术 陈皮锉 甘草炒，各等分（各6g）,上为细末，每服二钱，水一盏，加生姜五片，大枣两个，同煎至七分，食前温服，量多少与之。,益气健脾，行气化滞。,脾胃气虚兼气滞证。症见食欲不振，大便溏薄，胸脘痞闷不舒，或呕吐、泄泻等。,,,,P.122,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.231；书内索引页码 P.122,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,异功散,P.231,P.122,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\234_异功散.txt
235,P1,第2章 泻下剂,导水丸,《儒门事亲》,大黄二两（6g） 黄芩二两（6g） 滑石四两（12g） 黑牵牛另取头末，四两（12g）,上为细末，滴水丸如梧桐子大，每服五十丸（6g），或加至百丸（12g），临卧温水下。,攻下逐水。,水肿。症见遍身浮肿，二便不利，口渴，溲赤，苔黄，脉数。或湿热腰痛，痰湿流注身痛。,,,,P.58,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.128；书内索引页码 P.58,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,导水丸,P.128,P.58,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\235_导水丸.txt
236,P1,第4章 清热剂,导赤散,《小儿药证直诀》,生地黄 木通 生甘草梢各等分（各6g）,上药为末，每服三钱（9g），水一盏，入竹叶同煎至五分，食后温服（现代用法：加竹叶3g，水煎服）。,清心利水养阴。,心经火热证。心胸烦热，口渴面赤，意欲冷饮，以及口舌生疮；或心热移于小肠，小便赤涩刺痛，舌红，脉数。,本方原为小儿而设，其乃稚阴稚阳、易寒易热、易虚易实之体。方中生地甘凉而润，入心、肾经，凉血滋阴以制心火；木通苦寒，入心与小肠经，上清心经之火，下导小肠之热，两药相配，滋阴制火而不恋邪，利水通淋而不伤阴，共为君药。竹叶甘淡，清心除烦，淡渗利窍，导心火下行，为臣药。生甘草梢清热解毒，尚可直达茎中而止淋痛，并能调和诸药，且防木通、生地之寒凉伤胃，用为佐使。四药合用，共收清热利水养阴之效。《医宗金鉴》云：“赤色属心，导赤者，导心经之热从小便而出……,甘寒与苦寒相合，利水不伤阴。,,P.82,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.170；书内索引页码 P.82,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,导赤散,P.170,P.82,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets_300\236_导赤散.txt
237,P1,第17章 祛痰剂,导痰汤,《传信适用方》,半夏汤洗七次，四两（12g） 天南星细切，姜汁浸，一两 （3g） 枳实去瓤，一两（3g） 橘红一两（3g） 赤茯苓一两（3g）,上为粗末。每服三大钱（9g），水二盏，生姜十片，煎至一盏，去滓，食后温服。,燥湿祛痰，行气开郁。,痰厥证。症见头目眩晕，或痰饮壅盛，胸膈痞塞，胁肋胀满，头痛呕逆，喘急痰嗽，涕唾稠黏，舌苔厚腻，脉滑。,,,,P.268,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.468；书内索引页码 P.268,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,导痰汤,P.468,P.268,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\237_导痰汤.txt
