序号,章节,方剂名,出处,组成,用法,功用,主治,方义,配伍特点,注意/禁忌,《方剂学》页码,来源,QA状态,QA问题,药典候选状态,药典候选标题,药典候选来源,药典候选原文预览,定位标题,PDF页码,书内索引页码,页码类型,定位方法,原文片段文件
30,第4章 清热剂,清胃散,《脾胃论》,生地黄 当归身各三分（各6g） 牡丹皮半钱（6g） 黄连六分，夏月倍之，大抵黄连临时增减无定（9g） 升麻一钱（6g）,上药为细末，都作一服，水一盏半，煎至七分，去滓，放冷服之（现代用法：水煎服）。,清胃凉血。,胃火牙痛。牙痛牵引头疼，面颊发热，其齿喜冷恶热，或牙宣出血，或牙龈红肿溃烂，或唇舌腮颊肿痛，口气热臭，口干舌燥，舌红苔黄，脉滑数。,方用苦寒泻火之黄连为君，直折胃腑之热。臣以甘辛微寒之升麻，一取其清热解毒，以治胃火牙痛；一取其轻清升散透发，可宣达郁遏之伏火，取“火郁发之”之意。黄连得升麻，降中寓升，则泻火而无凉遏之弊；升麻得黄连，则散火而无升焰之虞。臣以丹皮凉血清热。佐以生地凉血滋阴；当归养血活血，合生地滋阴养血，合丹皮消肿止痛。升麻兼以引经为使。诸药合用，共奏清胃凉血之效，以使上炎之火得降，血分之热得除，热毒内彻而解。,苦寒辛散并用，降中有升，火郁发之。,,P.87,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.177；书内索引页码 P.87,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典有候选命中,品名目次,中华人民共和国药典：2020年版．一部 P.30 entryId=2278,…1668清肺抑火丸…1669清肺消炎丸…1670清泻丸…1671清降片…1672清胃保安丸…1673清胃黄连丸（大蜜丸）…1674清胃黄连丸（水丸）…1675清胃黄连片…1676清咽丸…1677清咽利膈丸,清胃散,P.177,P.87,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\030_清胃散.txt
31,第4章 清热剂,玉女煎,《景岳全书》,石膏三至五钱（9～15g） 熟地三至五钱或一两（9～30g） 麦冬二钱（6g） 知母 牛膝各一钱半（各5g）,上药用水一盅半，煎七分，温服或冷服（现代用法：水煎服）。,清胃热，滋肾阴。,胃热阴虚证。头痛，牙痛，齿松牙衄，烦热干渴，舌红苔黄而干。亦治消渴，消谷善饥等。,方中石膏辛甘大寒，善清阳明胃热而兼生津止渴，故为君药。臣以熟地滋肾水之不足，君臣相伍，清火壮水，虚实兼顾。佐以知母，一助石膏清胃热而止烦渴，一助熟地黄滋少阴而壮肾水；又佐入麦门冬清热养阴生津，既可养肺、助熟地滋肾，寓金水相生之意，又能生津而润胃燥。牛膝引热下行，且补肝肾，为佐使之用。诸药配伍，共奏清胃热、滋肾阴之功。,甘寒清润合法，胃肾同治，泻实补虚，引热下行。,,P.88,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.179；书内索引页码 P.88,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典有候选命中,0183　煎膏剂（膏滋）,中华人民共和国药典：2020年版．四部 P.61 entryId=5403,四、煎膏剂应无焦臭、异味，无糖的结晶析出。五、除另有规定外，煎膏剂应密封，置阴凉处贮存。除另有规定外，煎膏剂应进行以下相应检查。,玉女煎,P.179,P.88,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\031_玉女煎.txt
32,第4章 清热剂,芍药汤,《素问病机气宜保命集》,芍药一两（30g） 当归 黄连各半两（各15g） 槟榔 木香 甘草炙，各二钱（各6g） 大黄三钱（6g） 黄芩半两（9g） 官桂二钱半（5g）,上 咀，每服半两（15g），水二盏，煎至一盏，食后温服（现代用法：水煎服）。,清热燥湿，调气和血。,湿热痢疾。腹痛，便脓血，赤白相兼，里急后重，肛门灼热，小便短赤，舌苔黄腻，脉弦数。,方中黄芩、黄连性味苦寒，入大肠经，功擅清热燥湿解毒，以除致病之因，为君药。重用芍药养血和营、缓急止痛，配以当归养血活血，体现“行血则便脓自愈”之义，且可兼顾湿热邪毒熏灼肠络、耗伤气血之虑；木香、槟榔行气导滞，“调气则后重自除”，四药相配，调气和血，是为臣药。大黄苦寒沉降，合芩、连则清热燥湿之功著，合归、芍则活血行气之力彰，其泻下通腑可导湿热积滞从大便而去，乃“通因通用”之法；入少量温热之肉桂，既可助归、芍行血和营，又能制芩、连苦寒之性……,主以苦燥，辅以甘柔，佐温于寒，气血同调，通因通用。,,P.89,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.180；书内索引页码 P.89,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典有候选命中,归芍地黄丸,中华人民共和国药典：2020年版．一部 P.863 entryId=1082,【处方】当归40g酒白芍40g熟地黄160g酒萸肉80g牡丹皮60g山药80g茯苓60g泽泻60g【制法】以上八味，粉碎成细粉，过筛，混匀。每100g粉末用炼蜜35～50g加适量的水制丸，干燥，制成水蜜丸；或加炼蜜80～110g制成小蜜丸或大蜜丸，即得。【性状】本品为棕黑色的水蜜丸、黑褐色的小蜜丸或大蜜丸；味甜、微酸。【鉴别】（1）取本品，置显微镜下观察：糊化淀粉粒团块类白色（酒白芍）。不规则分枝状团块无色，遇水合氯醛试液溶化；菌丝无色或淡棕色，直径4～6μm（茯苓）。薄壁细胞纺锤形，壁略厚，有极微细的斜向交错纹理,芍药汤,P.180,P.89,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\032_芍药汤.txt
33,第4章 清热剂,白头翁汤,《伤寒论》,白头翁二两（15g） 黄柏三两（9g） 黄连三两（9g） 秦皮三两（9g）,上药四味，以水七升，煮取二升，去滓，温服一升，不愈，更服一升（现代用法：水煎服）。,清热解毒，凉血止痢。,热毒痢疾。下痢脓血，赤多白少，腹痛，里急后重，肛门灼热，渴欲饮水，舌红苔黄，脉弦数。,方用苦寒而入“阳明血分”之白头翁为君，清热解毒，凉血止痢。黄连泻火解毒，燥湿厚肠，为治痢要药；黄柏清下焦湿热，二者助君药清热解毒、燥湿止痢而为臣。秦皮“苦寒性涩”，清热解毒而兼以收涩止痢，用为佐使。四药合用，共奏清热解毒、凉血止痢之功。,苦寒之中寓凉血之功，清燥之内存收涩之义。,,P.90,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.182；书内索引页码 P.90,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典有候选命中,白头翁,中华人民共和国药典：2020年版．一部 P.157 entryId=153,另取白头翁对照药材1g，同法制成对照药材溶液。,白头翁汤,P.182,P.90,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\033_白头翁汤.txt
34,第4章 清热剂,青蒿鳖甲汤,《温病条辨》,青蒿二钱（6g） 鳖甲五钱（15g） 细生地四钱（12g） 知母二钱（6g） 丹皮三钱（9g）,上药以水五杯，煮取二杯，日再服（现代用法：水煎服）。,养阴透热。,温病后期，邪伏阴分证。夜热早凉，热退无汗，舌红苔少，脉细数。,方中鳖甲咸寒，直入阴分，滋阴退热；青蒿苦辛而寒，其气芳香，清中有透散之力，清热透络，引邪外出，两药相配，滋阴清热，内清外透，使阴分伏热有外达之机，共为君药。即如吴瑭自释：“此方有先入后出之妙，青蒿不能直入阴分，有鳖甲领之入也；鳖甲不能独出阳分，有青蒿领之出也。”生地甘寒，滋阴凉血；知母苦寒质润，滋阴降火，共助鳖甲以养阴退虚热，为臣药。丹皮辛苦性凉，泄血中伏火，以助青蒿清透阴分伏热，为佐药。诸药合用，共奏养阴透热之功。,滋中有清，清中有透，邪正兼顾，先入后出。,,P.91,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.185；书内索引页码 P.91,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典有候选命中,鳖甲,中华人民共和国药典：2020年版．一部 P.451 entryId=615,饮片【炮制】鳖甲　置蒸锅内，沸水蒸45分钟，取出，放入热水中，立即用硬刷除去皮肉，洗净，干燥。醋鳖甲　取净鳖甲，照烫法（通则0213）用砂烫至表面淡黄色，取出，醋淬，干燥。用时捣碎。,青蒿鳖甲汤,P.185,P.91,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\034_青蒿鳖甲汤.txt
35,第4章 清热剂,清骨散,《证治准绳》,银柴胡一钱五分（5g） 胡黄连 秦艽 鳖甲醋炙 地骨皮 青蒿 知母各一钱（各3g） 甘草五分（2g）,水二盅，煎八分，食远服（现代用法：水煎服）。,清虚热，退骨蒸。,肝肾阴虚，虚火内扰证。骨蒸潮热，或低热日久不退，形体消瘦，唇红颧赤，困倦盗汗，或口渴心烦，舌红少苔，脉细数。,方中银柴胡甘苦微寒，直入阴分而清热凉血，善退虚劳骨蒸之热，且无苦燥之弊，为君药。知母泻火滋阴以退虚热；胡黄连入血分而清虚热；地骨皮凉血而退有汗之骨蒸，三药俱入阴退虚火，以助银柴胡清骨蒸劳热，共为臣药。秦艽、青蒿皆辛散透热之品，清虚热并透伏热以外解；鳖甲咸寒，既滋阴潜阳，又引药入阴分，为治虚热之常用药，同为佐药。使以甘草，调和诸药，并防苦寒药物损伤胃气。,集退热除蒸之品，重在清透伏热以治标。,,P.92,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.186；书内索引页码 P.92,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典有候选命中,品名目次,中华人民共和国药典：2020年版．一部 P.30 entryId=2278,…1013连花清瘟胶囊…1014连花清瘟颗粒…1015连参通淋片…1016连蒲双清片…1018抗炎退热片…1019抗骨增生丸…1019抗骨增生胶囊…1020抗骨髓炎片…1021抗宫炎片…1022抗宫炎胶囊,清骨散,P.186,P.92,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\035_清骨散.txt
36,第5章 祛暑剂,香薷散,《太平惠民和剂局方》,香薷去土，一斤（10g） 白扁豆微炒 厚朴去粗皮，姜汁炙熟，各半斤（各5g）,上粗末。每三钱（9g），水一盏，入酒一分，煎七分，去滓，水中沉冷，连吃二服，立有神效，随病不拘时（现代用法：水煎服，或加酒少量同煎）。,祛暑解表，化湿和中。,阴暑。恶寒发热，头疼身痛，无汗，腹痛吐泻，胸脘痞闷，舌苔白腻，脉浮。,方中香薷辛微温，芳香质轻，辛温发散，为夏月祛暑解表要药，故重用为君药。厚朴苦辛性温，行气除满，燥湿运脾，为臣药。白扁豆甘淡性平，健脾和中，渗湿消暑，为佐药。入酒少许同煎，意在温经脉，通阳气，使药力畅达周身。诸药合用，祛暑解表，化湿和中，有表里双解之功。,辛温芳香以解表，苦温燥化以和中。,,P.96,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.192；书内索引页码 P.96,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,未在前次药典P0覆盖表中,,,,香薷散,P.192,P.96,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\036_香薷散.txt
37,第5章 祛暑剂,新加香薷饮,《温病条辨》,香薷二钱（6g） 金银花三钱（9g） 鲜扁豆花三钱（9g） 厚朴二钱（6g） 连翘二钱（6g）,水五杯，煮取二杯，先服一杯，得汗，止后服；不汗再服，服尽不汗，更作服。,祛暑解表，清热化湿。,暑温夹湿，复感外寒证。症见发热头痛，恶寒无汗，口渴面赤，胸闷不舒，舌苔白腻，脉浮而数。,,,,P.97,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.191；书内索引页码 P.97,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,未在前次药典P0覆盖表中,,,,新加香薷饮,P.191,P.97,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets\037_新加香薷饮.txt
38,第5章 祛暑剂,清暑益气汤,《温热经纬》,西洋参（5g） 石斛（15g） 麦冬（9g） 黄连（3g） 竹叶（6g） 荷梗（15g） 知母（6g） 甘草（3g） 粳米（15g） 西瓜翠衣（30g）（原著本方无用量）,水煎服。,清暑益气，养阴生津。,暑热气津两伤证。身热汗多，口渴心烦，小便短赤，体倦少气，精神不振，脉虚数。,方中以味甘性凉功同“白虎”之西瓜翠衣清解暑热，生津止渴；西洋参甘苦性凉，益气生津，养阴清热，共为君药。荷梗助西瓜翠衣清热解暑；石斛、麦冬甘寒质润，助西洋参养阴生津清热，共为臣药。少用黄连苦寒，清热泻火，以助清热祛暑之力；知母苦寒质润，泻火滋阴；竹叶甘淡，清热除烦，均为佐药。粳米、甘草益胃和中，调和诸药，为佐使药。诸药合用，共奏清暑益气、养阴生津之效。,甘寒苦寒合法，清补并举，气津兼顾。,,P.100,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.198；书内索引页码 P.100,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,未在前次药典P0覆盖表中,,,,清暑益气汤,P.198,P.100,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\038_清暑益气汤.txt
39,第6章 温里剂,理中丸,《伤寒论》,人参 干姜 甘草炙 白术各三两（各9g）,上四味，捣筛，蜜和为丸，如鸡子黄许大（9g）。以沸汤数合，和一丸，研碎，温服之，日三四服，夜二服。腹中未热，益至三四丸，然不及汤。汤法：以四物依两数切，用水八升，煮取三升，去滓，温服一升，日三服。服汤后，如食顷，饮热粥一升许，微自温，勿发揭衣被（现代用法：上药共研细末，炼蜜为丸，重9g，每次1丸，小蜜丸则每次9g，温开水送服，每日2～3次；亦可作汤剂，水煎服，药后饮热粥适量）。,温中祛寒，补气健脾。,1.脾胃虚寒证。脘腹疼痛，喜温喜按，呕吐便溏，脘痞食少，畏寒肢冷，口淡不渴，舌质淡、苔白润，脉沉细或沉迟无力。2.阳虚失血证。便血、吐血、衄血或崩漏等，血色暗淡，质清稀，面色㿠白，气短神疲，脉沉细或虚大无力。3.中阳不足，阴寒上乘之胸痹；脾气虚寒，不能摄津之病后多涎唾；中阳虚损，土不荣木之小儿慢惊；食饮不节，损伤脾胃阳气，清浊相干，升降失常之霍乱等。,方中干姜大辛大热，温脾暖胃，助阳祛寒为君药。阳虚则兼气弱，气旺亦可助阳，故臣以甘温之人参，益气健脾，补虚助阳，《内经》云：“脾欲缓，急食甘以缓之。”君臣相配，温中健脾。脾为中土，喜燥恶湿，虚则湿浊易生，反困脾胃，故佐以甘温苦燥之白术，既健脾补虚以助阳，又燥湿运脾以助生化。甘草与诸药等量，一与参、术以助益气健脾，补虚助阳；二可缓急止痛；三为调和诸药，是佐药而兼使药之用。四药相伍，可温中阳，补脾气，助运化，故曰“理中”。本方在《金匮要略》中……,辛热甘苦合方，温补并用，补中寓燥。,服汤后，如食顷，饮热粥一升许，微自温，勿发揭衣被（现代用法：上药共研细末，炼蜜为丸，重9g，每次1丸，小蜜丸则每次9g，温开水送服，每日2～3次； 本方临证服后，当“饮热粥”，且温覆“勿发揭衣被”。,P.102,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.202；书内索引页码 P.102,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,官方药典精确命中,理中丸,中华人民共和国药典：2020年版．一部 P.1636 entryId=1934,供试品溶液的制备　取本品重量差异项下的大蜜丸，切碎，取约1g，精密称定，置具塞锥形瓶中，精密加入甲醇-0.017mol/L磷酸溶液（13:7）50ml，密塞，称定重量，放置过夜，超声处理（功率250W，,理中丸,P.202,P.102,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\039_理中丸.txt
40,第6章 温里剂,小建中汤,《伤寒论》,桂枝去皮，三两（9g） 甘草炙，二两（6g） 大枣擘，十二枚（4枚） 芍药六两（18g） 生姜切，三两（9g） 胶饴一升（30g）,上六味，以水七升，煮取三升，去滓，内饴，更上微火消解。温服一升，日三服（现代用法：水煎取汁，兑入饴糖，文火加热溶化，分两次温服）。,温中补虚，和里缓急。,中焦虚寒，肝脾失调，阴阳不和证。脘腹拘急疼痛，时发时止，喜温喜按；或心中悸动，虚烦不宁，面色无华；兼见手足烦热，咽干口燥等，舌淡苔白，脉细弦。,本方由桂枝汤倍芍药加饴糖而成，方中重用甘温质润入脾之饴糖，一者温中补虚，二者缓急止痛，一药而两擅其功，故以为君。臣以辛温之桂枝，温助脾阳，祛散虚寒。饴糖与桂枝相伍，辛甘化阳，温中益气，使中气强健，不受肝木之侮。正如《成方便读》所言：“此方因土虚木克起见，故治法必以补脾为先。”更臣以酸苦之芍药，其用有三：一者滋养营阴，以补营血之亏虚；二者柔缓肝急止腹痛，与饴糖相伍，酸甘化阴，养阴缓急而止腹痛拘急；三者与桂枝相配，调和营卫、燮理阴阳。佐以生……,辛甘酸甘合化以调和阴阳；重用甘温质润以抑木缓急。,呕家，或中满者，不宜使用。,P.104,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.204；书内索引页码 P.104,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,官方药典有候选命中,小建中颗粒,中华人民共和国药典：2020年版．一部 P.650 entryId=848,【处方】白芍400g大枣200g桂枝200g炙甘草133g生姜200g【制法】以上五味，桂枝、生姜蒸馏提取挥发油，蒸馏后的水溶液另器收集；药渣与其余白芍等三味加水煎煮三次，每次1小时，合并煎液，滤过，滤液与蒸馏后的水溶液合并，浓缩至相对密度为1.10～1.12（65℃），加乙醇使含醇量达50%，充分搅拌，静置6～8小时，滤过，滤液回收乙醇，浓缩成稠膏，加入适量蔗糖及糊精，制成颗粒，干燥，过筛，喷加上述挥发油，混匀，制成1000g，即得。【性状】本品为浅棕色至棕黄色的颗粒；气香，味甜。【鉴别】（1）取本品1.5g，加,小建中汤,P.204,P.104,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\040_小建中汤.txt
41,第6章 温里剂,大建中汤,《金匮要略》,蜀椒炒去汗，二合（6g） 干姜四两（12g） 人参二两（6g）,上三味，以水四升，煮取二升，去滓，内胶饴一升（30g），微火煮取一升半，分温再服，如一炊顷，可饮粥二升，后更服，当一日食糜，温覆之（现代服法：水煎服，饴糖冲服）。,温中补虚，缓急止痛。,中阳虚衰，阴寒内盛之脘腹疼痛。心胸中大寒痛，呕不能食，腹中寒，上冲皮起，出见有头足，上下痛而不可触近，舌苔白滑，脉细沉紧，甚则肢厥脉伏。,方中蜀椒味辛性热，温脾胃，助命火，散寒止痛，为君药。张秉成曰：“蜀椒之大辛大热，上至肺而下至肾，逐寒暖胃。”以辛热之干姜温脾暖胃，助蜀椒散寒之力；以甘温之饴糖温补中虚，缓急止痛，助蜀椒止痛之功，共为臣药。佐以人参补脾益气，补虚助阳，合饴糖重建中脏，缓急止痛，又使中气旺则邪不可干。四药配伍，共奏补虚缓急、散寒止痛之效。,纯用辛甘，温补兼施，以温为主。,此种腹痛，病情较重，病势较急，素体又虚，故方后强调，初服后“如一炊顷，可饮粥二升”，取粥之温热助药力以祛寒邪。 心胸中大寒痛，呕不能食，腹中寒，上冲皮起，出见有头足，上下痛而不可触近，舌苔白滑，脉细沉紧，甚则肢厥脉伏。,P.106,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.208；书内索引页码 P.106,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,官方药典有候选命中,乳香,中华人民共和国药典：2020年版．一部 P.282 entryId=345,【用法与用量】煎汤或入丸、散，3～5g；外用适量，研末调敷。【注意】孕妇及胃弱者慎用。【贮藏】置阴凉干燥处。,大建中汤,P.208,P.106,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\041_大建中汤.txt
42,第6章 温里剂,四逆汤,《伤寒论》,甘草炙，二两（6g） 干姜一两半（6g） 附子生用，去皮，破八片，一枚（15g）,上三味，以水三升，煮取一升二合，去滓，分温再服。强人可大附子一枚，干姜三两（现代用法：水煎服）。,回阳救逆。,少阴病，心肾阳衰寒厥证。四肢厥逆，恶寒蜷卧，神衰欲寐，面色苍白，腹痛下利，呕吐不渴，舌苔白滑，脉微细。以及太阳病误汗亡阳者。,方中生附子大辛大热，入心、脾、肾经，温壮心肾之阳，回阳破阴以救逆，为君药，生用则能迅达内外以温阳逐寒。臣以辛热之干姜，入心、脾、肺经，既与附子相须为用，以增温里回阳之力；又温中散寒，助阳通脉。炙甘草一者益气补中，与姜、附温补结合，治虚寒之本；二者甘缓姜、附峻烈之性，使其破阴回阳而无暴散之虞；三者调和药性，并使药力持久，是为佐药而兼使药之用。三药合用，药少力专而效捷，大辛大热，使阳复厥回，故名“四逆汤”。,大辛大热以速挽元阳，少佐甘缓防虚阳复耗。,本方纯用辛热之品，中病手足温和即止，不可久服。 真热假寒者禁用。,P.108,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.211；书内索引页码 P.108,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,官方药典精确命中,四逆汤,中华人民共和国药典：2020年版．一部 P.878 entryId=1099,【功能与主治】温中祛寒，回阳救逆。用于阳虚欲脱，冷汗自出，四肢厥逆，下利清谷，脉微欲绝。【用法与用量】口服。一次10～20ml，一日3次；或遵医嘱。【规格】每支装10ml【贮藏】密封，置阴凉处。,四逆汤,P.211,P.108,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\042_四逆汤.txt
43,第6章 温里剂,当归四逆汤,《伤寒论》,当归三两（9g） 桂枝去皮，三两（9g） 芍药三两（9g） 细辛三两（3g） 甘草炙，二两（6g） 通草二两（6g） 大枣擘，二十五枚（8枚）,上七味，以水八升，煮取三升，去滓，温服一升，日三服（现代用法：水煎服）。,温经散寒，养血通脉。,血虚寒厥证。手足厥寒，或腰、股、腿、足、肩臂疼痛，口不渴，舌淡苔白，脉沉细或细而欲绝。,本方由桂枝汤去生姜，倍大枣，加当归、通草、细辛组成。方中当归甘温，主入肝经，养血和血以补虚；桂枝辛温，温经散寒以通脉，共为君药。细辛温经散寒，增桂枝温通之力；白芍养血和营，既助当归补益营血，又配桂枝以和阴阳，共为臣药。通草通利经脉以畅血行；大枣、甘草，益气健脾，养血补虚，皆为佐药。重用大枣，既合归、芍以补营血，又防桂枝、细辛燥烈太过，伤及阴血。甘草兼调药而为使药之用。全方共奏温经散寒、养血通脉之功。,辛温甘酸并用，温通不燥，补养不滞。,,P.111,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.216；书内索引页码 P.111,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典有候选命中,四逆汤,中华人民共和国药典：2020年版．一部 P.878 entryId=1099,【功能与主治】温中祛寒，回阳救逆。用于阳虚欲脱，冷汗自出，四肢厥逆，下利清谷，脉微欲绝。【用法与用量】口服。一次10～20ml，一日3次；或遵医嘱。【规格】每支装10ml【贮藏】密封，置阴凉处。,当归四逆汤,P.216,P.111,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\043_当归四逆汤.txt
44,第6章 温里剂,阳和汤,《外科证治全生集》,熟地黄一两（30g） 麻黄五分（2g） 鹿角胶三钱（9g） 白芥子炒研，二钱（6g） 肉桂一钱（3g） 生甘草一钱（3g） 炮姜炭五分（2g）,水煎服。,温阳补血，散寒通滞。,阴疽。如贴骨疽、脱疽、流注、痰核、鹤膝风等。患处漫肿无头，皮色不变，酸痛无热，口中不渴，舌淡苔白，脉沉细或迟细。,方中重用熟地黄温补营血，填精益髓；鹿角胶温肾阳，益精血。两者合用，温阳补血，以治其本，共为君药。肉桂、姜炭药性辛热，均入血分，温阳散寒，温通血脉，为臣药。白芥子辛温，可达皮里膜外，温化寒痰，通络散结；少量麻黄，辛温达表，宣通毛窍，开腠理，散寒凝，合为佐药。方中鹿角胶、熟地黄得姜、桂、芥、麻之宣通，则补而不滞；麻、芥、姜、桂得熟地黄、鹿角胶之滋补，则温散而不伤正。生甘草为使，解毒并调诸药。全方宣化寒凝而通经脉，补养精血而扶阳气，用于阴疽……,滋补之中寓温散之法，补而不滞。,乳岩万不可用，阴虚有热及破溃日久者，不可沾唇。,P.300,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.521；书内索引页码 P.300,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,官方药典有候选命中,阳和解凝膏,中华人民共和国药典：2020年版．一部 P.989 entryId=1228,【处方】鲜牛蒡草480g（或干品120g）鲜凤仙透骨草40g（或干品10g）生川乌20g桂枝20g大黄20g当归20g生草乌20g生附子20g地龙20g僵蚕20g赤芍20g白芷20g白蔹20g白及20g川芎10g续断10g防风10g荆芥10g五灵脂10g木香10g香橼10g陈皮10g肉桂20g乳香20g没药20g苏合香40g人工麝香10g【制法】以上二十七味，除苏合香外，人工麝香研细，肉桂、乳香、没药粉碎成细粉，与人工麝香配研，过筛，混匀。其余牛蒡草等二十二味，酌予碎断，与食用植物油2400g同置锅内炸枯，去渣，滤,阳和汤,P.521,P.300,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\044_阳和汤.txt
45,第7章 补益剂,四君子汤,《太平惠民和剂局方》,人参去芦 白术 茯苓去皮（各9g） 甘草炙（6g），各等分,上为细末，每服二钱，水一盏，煎至七分，通口服，不拘时候；入盐少许，白汤点亦得（现代用法：水煎服）。,益气健脾。,脾胃气虚证。面色萎白，语声低微，气短乏力，食少便溏，舌淡苔白，脉虚缓。,方中人参甘温，能大补脾胃之气，故为君药。臣以白术健脾燥湿，与人参相须，益气补脾之力更强。脾喜燥恶湿，喜运恶滞，故又以茯苓健脾渗湿，合白术互增健脾祛湿之力，为佐助。炙甘草益气和中，既可加强人参、白术益气补中之功，又能调和诸药，故为佐使。四药皆为甘温和缓之品，而呈君子中和之气，故以“君子”为名。四药合力，重在健补脾胃之气，兼司运化之职，且渗利湿浊，共成益气健脾之功。,甘温和缓，适脾欲缓喜燥之性。,,P.121,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.232；书内索引页码 P.121,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,官方药典未命中,,,,四君子汤,P.232,P.121,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\045_四君子汤.txt
